Date,Forecasted Price,Lower Bound,Upper Bound
2026-03-09,9804.99774249653,9579.756818324728,10030.23866666833
2026-03-10,9810.713631373163,9485.068070210738,10136.359192535587
2026-03-11,9801.913319329684,9413.051960898576,10190.774677760792
2026-03-12,9806.470748375285,9359.474220335713,10253.467276414856
2026-03-13,9799.431657617113,9308.785473698961,10290.077841535265
2026-03-16,9803.06536041565,9269.917372328237,10336.213348503064
2026-03-17,9797.43498579896,9230.057934927352,10364.812036670568
2026-03-18,9800.332143763195,9199.038234578456,10401.626052947933
2026-03-19,9795.82853910923,9165.98501261985,10425.67206559861
2026-03-20,9798.138412449662,9139.837745312547,10456.439079586777
2026-03-23,9794.536066025084,9111.495585386949,10477.57654666322
2026-03-24,9796.37767452592,9088.640217288586,10504.115131763254
2026-03-25,9793.496212197862,9063.743720407285,10523.24870398844
2026-03-26,9794.96446061758,9043.241588903287,10546.687332331874
2026-03-27,9792.659610549683,9020.957958915886,10564.36126218348
2026-03-30,9793.830173548493,9002.210125399764,10585.450221697221
2026-03-31,9791.986539659565,8981.960286655221,10602.012792663909
2026-04-01,9792.919757413398,8964.56468573944,10621.274829087355
2026-04-02,9791.445039477094,8945.93050238461,10636.959576569578
2026-04-03,9792.189024295483,8929.606646485448,10654.771402105518
2026-04-06,9791.009395063227,8912.277831247233,10669.740958879222
2026-04-07,9791.602508776132,8896.823945048929,10686.381072503335
2026-04-08,9790.658916491539,8880.565422421736,10700.752410561341
2026-04-09,9791.131746025698,8865.832597811133,10716.430894240262
2026-04-10,9790.376957074162,8850.463331840789,10730.290582307536
2026-04-13,9790.753889841964,8836.339236167494,10745.168543516435
2026-04-14,9790.150123368896,8821.717916928712,10758.58232980908
2026-04-15,9790.45060351707,8808.116151340148,10772.785055693994
2026-04-16,9789.967639511797,8794.131202154706,10785.804076868888
2026-04-17,9790.207169666719,8780.984144605201,10799.430194728237
